username,repo_name,stars,repo_url
,mrdoob,88900,https://github.com//mrdoob
pmndrs,react-three-fiber,21300,https://github.com//pmndrs/react-three-fiber
libgdx,libgdx,21100,https://github.com//libgdx/libgdx
,BabylonJS,19300,https://github.com//BabylonJS
ssloy,tinyrenderer,16000,https://github.com//ssloy/tinyrenderer
aframevr,aframe,15000,https://github.com//aframevr/aframe
,lettier,14500,https://github.com//lettier
FreeCAD,FreeCAD,13200,https://github.com//FreeCAD/FreeCAD
CesiumGS,cesium,9900,https://github.com//CesiumGS/cesium
,metafizzy,9600,https://github.com//metafizzy
timzhang642,3D-Machine-Learning,8700,https://github.com//timzhang642/3D-Machine-Learning
,isl-org,8000,https://github.com//isl-org
,blender,7700,https://github.com//blender
a1studmuffin,SpaceshipGenerator,7300,https://github.com//a1studmuffin/SpaceshipGenerator
domlysz,BlenderGIS,6000,https://github.com//domlysz/BlenderGIS
FyroxEngine,Fyrox,5900,https://github.com//FyroxEngine/Fyrox
openscad,openscad,5300,https://github.com//openscad/openscad
google,model-viewer,5300,https://github.com//google/model-viewer
spritejs,spritejs,5100,https://github.com//spritejs/spritejs
jagenjo,webglstudio.js,4900,https://github.com//jagenjo/webglstudio.js
